x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
0.007719393,-0.025553352,0.999643655,-0.029471421,-0.015463463,0.999446005,2.208070617
0.006799512,-0.025279479,0.999657299,-0.035788473,-0.014308986,0.999256943,2.520076763
0.00632438,-0.025066753,0.999665774,-0.031520014,-0.013850386,0.999407152,2.2617499
0.005991068,-0.02503401,0.999668648,-0.032166319,-0.014018035,0.999384222,2.275750713
0.005554722,-0.025222285,0.999666435,-0.032110305,-0.014109211,0.99938474,2.250223618
0.005186875,-0.025415629,0.999663514,-0.033306118,-0.016215188,0.99931365,2.267845977
0.004889204,-0.025899497,0.999652596,-0.032851862,-0.015778525,0.999335676,2.239024137
0.005115376,-0.025635339,0.999658273,-0.032900645,-0.015774288,0.999334138,2.250463859
0.004468442,-0.026494208,0.99963898,-0.037690013,-0.01390993,0.999192663,2.521151643
0.004649236,-0.02658107,0.999635849,-0.036115312,-0.014659648,0.999240101,2.433753472
0.005107862,-0.026068846,0.9996471,-0.028295502,-0.01371253,0.999505543,2.040741353
0.005076339,-0.026960866,0.9996236,-0.032893619,-0.015908262,0.999332246,2.266021996
0.005071567,-0.027039397,0.999621503,-0.032659557,-0.015443968,0.999347206,2.261818866
0.004806185,-0.027424408,0.999612326,-0.036650083,-0.015921569,0.999201319,2.465311645
0.005348689,-0.027290389,0.999613238,-0.031695345,-0.015443336,0.999378261,2.228547363
0.005448179,-0.027304149,0.999612325,-0.032023258,-0.013032457,0.999402154,2.297588919
0.00580386,-0.027428121,0.999606929,-0.032386179,-0.013916124,0.999378545,2.32124276
0.005771031,-0.028165252,0.999586621,-0.032227756,-0.014710137,0.999372295,2.309818776
0.006261331,-0.027800393,0.999593884,-0.032116707,-0.014064222,0.999385168,2.335693807
0.006888244,-0.028256265,0.999576978,-0.033456817,-0.016927167,0.999296809,2.401238696
0.007300774,-0.028159577,0.999576779,-0.03288768,-0.015143065,0.999344329,2.420610024
0.007813186,-0.027669876,0.999586581,-0.032979789,-0.015493748,0.999335918,2.439388635
0.008280232,-0.027192369,0.999595925,-0.032194423,-0.013546353,0.999389822,2.447496627
0.008741804,-0.02742738,0.999585574,-0.032151424,-0.014217776,0.999381879,2.462436023
0.009150049,-0.027496674,0.999580017,-0.033023451,-0.016020043,0.999326178,2.504478314
0.009495125,-0.027409991,0.999579179,-0.032699205,-0.015835674,0.999339779,2.50710059
0.009859665,-0.027204771,0.999581256,-0.032949396,-0.015177302,0.999341777,2.547993656
0.01014439,-0.026879126,0.999587217,-0.033092984,-0.015071775,0.999338629,2.568284318
0.010552463,-0.026738075,0.999586775,-0.033093951,-0.015939663,0.999325131,2.576414996
0.01084298,-0.026095537,0.999600647,-0.031414827,-0.012550913,0.999427628,2.542753036
0.011186807,-0.026451955,0.99958749,-0.033571603,-0.017371004,0.999285342,2.617001803
0.01126665,-0.026414879,0.999587573,-0.032756064,-0.015433303,0.999344212,2.599869354
0.011392629,-0.026226509,0.999591106,-0.036895292,-0.016387497,0.999184761,2.823924235
0.011567168,-0.02619602,0.999589901,-0.032218268,-0.015233953,0.999364753,2.586400305
0.011683655,-0.026588343,0.999578187,-0.033150208,-0.015807853,0.99932536,2.642283015
