x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.002867527,-0.004166316,0.999987209,-0.037669847,-0.01577364,0.999165739,2.102651579
-0.002315758,-0.004363768,0.999987797,-0.037116819,-0.015189291,0.99919549,2.088806997
-0.002250165,-0.004561601,0.999987064,-0.037809197,-0.014987487,0.999172578,2.123784266
-0.002384335,-0.004641399,0.999986386,-0.039467684,-0.015285173,0.999103931,2.211222468
-0.00227647,-0.004722383,0.999986258,-0.039281088,-0.015751909,0.999104035,2.213097926
-0.001811947,-0.003970814,0.999990475,-0.038594169,-0.015673651,0.999132037,2.212248142
-0.002613978,-0.004919521,0.999984483,-0.033787999,-0.014580885,0.999322655,1.870419084
-0.002486336,-0.004655107,0.999986074,-0.039241533,-0.01554257,0.999108868,2.197075359
-0.002694807,-0.004632449,0.999985639,-0.038107613,-0.015342092,0.999155859,2.120414659
-0.002011357,-0.003779304,0.999990836,-0.038833191,-0.014663088,0.999138117,2.200644808
-0.002941746,-0.004714023,0.999984562,-0.039384319,-0.01528989,0.999107149,2.17486578
-0.002410464,-0.00429842,0.999987857,-0.039340706,-0.016228942,0.999094055,2.224351957
-0.002387746,-0.004368383,0.999987608,-0.038679844,-0.015972275,0.999123994,2.183779892
-0.002462687,-0.004565974,0.999986543,-0.037877407,-0.015215257,0.999166552,2.119508684
-0.002472569,-0.004605929,0.999986336,-0.037966658,-0.015146735,0.999164205,2.122088751
-0.002510403,-0.004618189,0.999986185,-0.038443007,-0.014697332,0.999152703,2.138904259
-0.002442298,-0.004620546,0.999986343,-0.039057835,-0.015709999,0.999113448,2.192725402
-0.002461494,-0.00469216,0.999985962,-0.039161109,-0.015950867,0.999105589,2.200170235
-0.002295994,-0.004620731,0.999986689,-0.038829524,-0.015688293,0.999122688,2.187853741
-0.002311336,-0.004466147,0.999987356,-0.038340695,-0.015260509,0.999148191,2.155649772
-0.003099746,-0.005056997,0.999982409,-0.037743234,-0.014956526,0.999175535,2.065005056
-0.003240461,-0.005057056,0.999981963,-0.038046933,-0.015139592,0.99916126,2.076895269
-0.003142359,-0.004908404,0.999983016,-0.038340534,-0.015216271,0.999148872,2.102068359
-0.002194488,-0.004014229,0.999989535,-0.039039035,-0.015184607,0.999122306,2.206619098
