x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.005648131,-0.018745586,0.999808332,-0.039005269,-0.016790163,0.999097933,1.915026041
-0.005588055,-0.018295919,0.999817,-0.039667771,-0.017148173,0.999065768,1.954299732
-0.005501962,-0.017957331,0.999823616,-0.039712123,-0.017177441,0.999063503,1.961186505
-0.005210701,-0.018415551,0.999816841,-0.039501022,-0.017575441,0.999064949,1.965848786
-0.005047714,-0.018473937,0.9998166,-0.038499166,-0.01727073,0.999109371,1.918384063
-0.004794082,-0.018127393,0.999824192,-0.03816872,-0.016586517,0.999133643,1.914760823
-0.004652715,-0.017567932,0.999834846,-0.038897993,-0.016739816,0.99910296,1.963227427
-0.00452769,-0.017151094,0.999842658,-0.039581578,-0.016823155,0.999074712,2.009112543
-0.004368491,-0.016828923,0.99984884,-0.039661733,-0.017256471,0.999064143,2.022906957
-0.004206201,-0.01659806,0.999853395,-0.03935008,-0.017430291,0.999073449,2.014759936
-0.004028866,-0.016523264,0.999855365,-0.038851573,-0.017472963,0.999092213,1.996515901
-0.004080435,-0.016290932,0.999858968,-0.038507809,-0.017411767,0.99910659,1.974156676
-0.004152984,-0.01582698,0.999866121,-0.03887866,-0.016604422,0.999105972,1.990709886
-0.004261693,-0.015351742,0.999873073,-0.039049731,-0.016595857,0.999099443,1.995075279
-0.004312104,-0.014776112,0.999881529,-0.039824403,-0.016431482,0.999071581,2.037550171
-0.004302872,-0.014510945,0.999885452,-0.032632459,-0.015981307,0.999339642,1.625705898
-0.00413891,-0.014425793,0.999887377,-0.039337592,-0.01721876,0.999077609,2.02371201
-0.004014433,-0.014469901,0.999887247,-0.038769752,-0.017141219,0.999101138,1.997815454
-0.003895479,-0.014326228,0.999889786,-0.038750817,-0.016910716,0.999105801,2.003151977
-0.003745513,-0.014289288,0.999890888,-0.038995372,-0.016533941,0.999102592,2.024368015
-0.003550097,-0.014113219,0.999894101,-0.03944894,-0.016751069,0.999081169,2.063034849
-0.003392859,-0.014286377,0.999892188,-0.039445595,-0.017267859,0.999072503,2.073366208
-0.003187192,-0.014365278,0.999891734,-0.039224595,-0.017302568,0.999080604,2.072272451
-0.003073099,-0.014682267,0.999887487,-0.039168745,-0.017318602,0.999082517,2.074263129
-0.00304864,-0.015070163,0.999881791,-0.038514206,-0.017140607,0.999111033,2.03607313
-0.002613205,-0.014859999,0.999886169,-0.038413221,-0.016547279,0.999124923,2.054039855
-0.002860259,-0.015076651,0.99988225,-0.035377871,-0.016205016,0.999242615,1.864685794
-0.002796046,-0.01501397,0.999883375,-0.039902841,-0.017477959,0.999050692,2.131401765
-0.002740543,-0.01498594,0.999883949,-0.039413461,-0.017396771,0.999071535,2.106371845
-0.002717974,-0.015180603,0.999881074,-0.039130765,-0.017192872,0.999086177,2.090094791
-0.002729514,-0.015287903,0.999879408,-0.038807383,-0.016656687,0.999107873,2.069181575
-0.002670143,-0.015106004,0.999882333,-0.038649415,-0.01667422,0.999113704,2.063999167
-0.002589208,-0.01519166,0.999881248,-0.038657231,-0.017179203,0.999104846,2.070271353
-0.002529292,-0.014937228,0.999885234,-0.039118954,-0.017020644,0.999089588,2.100441387
-0.002541893,-0.014616917,0.999889936,-0.039528435,-0.017431752,0.999066383,2.125946603
-0.002490965,-0.014819195,0.999887087,-0.039363226,-0.0172161,0.999076645,2.117713659
-0.002519291,-0.015099592,0.999882821,-0.038794614,-0.017260618,0.999098118,2.082707759
-0.002359973,-0.014962342,0.999885273,-0.038594362,-0.016466287,0.99911928,2.078442491
-0.002356036,-0.014891787,0.999886335,-0.038859367,-0.016673504,0.999105572,2.094571104
-0.002291422,-0.014927322,0.999885956,-0.039189097,-0.016622848,0.999093537,2.116919306
-0.002139122,-0.014877198,0.99988704,-0.039721343,-0.016884991,0.999068122,2.157011141
-0.002044085,-0.015154291,0.999883078,-0.039320335,-0.017356289,0.999075908,2.140119172
-0.001824944,-0.015477146,0.999878556,-0.038870894,-0.017569833,0.999089763,2.126562842
-0.00182915,-0.015812533,0.999873301,-0.038593042,-0.01733427,0.999104649,2.108798535
-0.00169511,-0.01586059,0.999872776,-0.038610942,-0.016773631,0.999113527,2.11633568
-0.001567827,-0.015769914,0.999874418,-0.039158355,-0.016745021,0.999092702,2.155095613
-0.001428105,-0.015687584,0.999875922,-0.039539291,-0.01713976,0.999071005,2.1858139
-0.001248216,-0.015689397,0.999876135,-0.034904664,-0.016486102,0.999254659,1.929332449
-0.00047954,-0.015141377,0.999885248,-0.040116717,-0.017883071,0.999034957,2.277140448
-0.001285163,-0.016121639,0.999869212,-0.038880276,-0.017398106,0.999092403,2.155869191
-0.001011069,-0.01569322,0.999876343,-0.03857284,-0.016962844,0.999111805,2.15393233
-0.000895831,-0.015356413,0.999881682,-0.038925992,-0.016849313,0.999100029,2.181237536
-0.000225439,-0.014535937,0.999894322,-0.039456131,-0.016780711,0.999080388,2.252057657
-0.001507087,-0.015939278,0.999871826,-0.039820512,-0.017806279,0.999048179,2.198443806
-0.000595806,-0.015058047,0.999886444,-0.03957518,-0.017389511,0.999065268,2.237981977
-0.001179804,-0.015664056,0.999876615,-0.038884219,-0.016978511,0.999099468,2.162203128
-0.001106803,-0.015689081,0.999876306,-0.03848778,-0.016982493,0.999114751,2.14362314
-0.000607543,-0.014792834,0.999890395,-0.038792999,-0.01669575,0.99910778,2.191172838
-0.001668196,-0.015663147,0.999875934,-0.039185881,-0.017063077,0.999086242,2.151703205
-0.00154748,-0.015179236,0.999883591,-0.033765691,-0.015828497,0.999304426,1.846720417
-0.00163326,-0.015164138,0.999883684,-0.035880821,-0.016838854,0.999214201,1.965056126
-0.001711297,-0.015577297,0.999877202,-0.042343562,-0.017738552,0.998945627,2.332120174
-0.000737148,-0.014648873,0.999892428,-0.038643921,-0.017297066,0.999103327,2.177792176
-0.001933919,-0.01609255,0.999868636,-0.038641328,-0.016732855,0.999113036,2.104063253
-0.001905368,-0.015875492,0.999872161,-0.038842446,-0.016928502,0.999101942,2.117778951
-0.001937129,-0.015641407,0.999875789,-0.03937263,-0.017076553,0.999078669,2.14708325
-0.002023766,-0.015480498,0.999878122,-0.039800088,-0.017196247,0.999059679,2.16729171
-0.002051031,-0.015657818,0.999875305,-0.039357641,-0.017340378,0.999074716,2.140300164
-0.00219834,-0.015973823,0.999869994,-0.038835076,-0.017223502,0.999097186,2.100935551
-0.002305867,-0.016232192,0.99986559,-0.038159617,-0.017143345,0.999124592,2.055480515
-0.002354036,-0.016078396,0.999867963,-0.038834533,-0.016825267,0.999103993,2.091190765
-0.002473418,-0.016111091,0.999867149,-0.039708088,-0.016855557,0.999069146,2.134429012
-0.002361577,-0.016112709,0.999867393,-0.039439874,-0.017248345,0.999073066,2.126035295
-0.002368164,-0.016278247,0.999864696,-0.039183945,-0.017396346,0.99908057,2.110958988
-0.002322691,-0.016332411,0.999863919,-0.038928504,-0.017106606,0.999095559,2.098406748
-0.002305788,-0.016383087,0.99986313,-0.038663375,-0.016773271,0.999111506,2.083816182
-0.002691753,-0.016441446,0.999861207,-0.038892097,-0.016825084,0.999101757,2.074813139
-0.002299383,-0.015722849,0.999873744,-0.039426789,-0.016831533,0.999080691,2.128799366
-0.002448955,-0.015745526,0.999873032,-0.039456113,-0.017258861,0.999072243,2.122743432
-0.002430369,-0.015736535,0.999873219,-0.033063783,-0.01623904,0.99932131,1.755754962
-0.00226055,-0.015976311,0.999869815,-0.042321853,-0.018445941,0.998933736,2.300480755
-0.001216331,-0.015125938,0.999884857,-0.038689445,-0.017286016,0.999101757,2.151209745
-0.001656427,-0.01574535,0.999874662,-0.038820184,-0.016987165,0.999101811,2.131097837
-0.002235943,-0.016399358,0.999863021,-0.039154136,-0.016842408,0.999091231,2.11599136
-0.002167662,-0.016311525,0.999864609,-0.039442971,-0.016893397,0.999079008,2.136576078
-0.002127114,-0.016444023,0.999862525,-0.034465337,-0.016360754,0.999271968,1.853239576
-0.001342761,-0.015685143,0.999876079,-0.040457162,-0.017640953,0.999025533,2.24456259
-0.002308985,-0.017138649,0.999850456,-0.039090662,-0.017559923,0.999081363,2.10815261
-0.002113916,-0.017006308,0.999853148,-0.038760553,-0.017078331,0.999102572,2.100259615
-0.002182596,-0.017066048,0.999851982,-0.038375251,-0.016570636,0.999125995,2.074411055
-0.002224562,-0.016798208,0.999856425,-0.03901995,-0.01711178,0.999091903,2.108871021
-0.002250102,-0.016672119,0.999858479,-0.039565831,-0.017273908,0.999067644,2.138916047
-0.002135471,-0.016563274,0.999860539,-0.032781046,-0.015831196,0.999337168,1.756687849
-0.00098433,-0.015221015,0.999883669,-0.043544171,-0.018239011,0.998885,2.445477705
-0.002076713,-0.016467367,0.999862247,-0.038720622,-0.017311048,0.999100116,2.100669289
-0.001911972,-0.0162766,0.999865699,-0.038453696,-0.016997348,0.999115811,2.094651166
-0.000982603,-0.015007399,0.9998869,-0.038919031,-0.01695174,0.999098567,2.177049768
-0.000902447,-0.014650038,0.999892275,-0.03965348,-0.017197558,0.999065486,2.225707455
-0.001634856,-0.015170273,0.999883588,-0.034173438,-0.016294188,0.999283081,1.865834959
-0.001269675,-0.014691352,0.99989127,-0.041616264,-0.017991356,0.99897167,2.320165718
-0.001204683,-0.014547669,0.999893451,-0.038813476,-0.017610706,0.999091276,2.162576858
-0.001357777,-0.014324999,0.99989647,-0.038306232,-0.017205741,0.999117908,2.124005235
-0.001384218,-0.013504615,0.99990785,-0.038593607,-0.016562151,0.999117725,2.139729682
-0.001423671,-0.012982635,0.999914709,-0.039247561,-0.017108054,0.999083051,2.18065379
-0.00158117,-0.012670712,0.999918473,-0.039401836,-0.017064253,0.999077728,2.182200691
-0.00164911,-0.012369552,0.999922134,-0.039261414,-0.017457919,0.999076455,2.175327873
-0.001059344,-0.01141558,0.999934279,-0.038802628,-0.017453022,0.999094464,2.190684888
-0.00137661,-0.011447638,0.999933526,-0.038672407,-0.01730001,0.999102174,2.163693264
-0.001665716,-0.011246485,0.999935369,-0.038570681,-0.016728448,0.99911584,2.138339306
-0.002742196,-0.011643829,0.999928448,-0.038945234,-0.016375712,0.999107154,2.092569783
-0.002720181,-0.011124604,0.99993442,-0.039918255,-0.016326547,0.999069556,2.152729022
-0.002833187,-0.01110752,0.999934296,-0.03276247,-0.015948815,0.999335907,1.737516284
-0.001942257,-0.009973142,0.999948381,-0.0421911,-0.018327294,0.99894145,2.356113238
-0.003792066,-0.011762933,0.999923624,-0.038446718,-0.017467184,0.999107976,2.012930153
-0.003505805,-0.011038884,0.999932924,-0.038743388,-0.016804364,0.999107884,2.046465599
-0.003897339,-0.010935158,0.999932614,-0.039001506,-0.016256819,0.9991069,2.034957825
-0.003611941,-0.009995363,0.999943522,-0.039407717,-0.017033784,0.999078016,2.090922208
-0.003784869,-0.009979916,0.999943036,-0.03927904,-0.017156011,0.999080992,2.075514699
-0.00377238,-0.009966941,0.999943213,-0.039432122,-0.017230645,0.999073677,2.085819012
-0.003720695,-0.010339002,0.999939629,-0.039274967,-0.017327674,0.999078189,2.076791189
-0.00281927,-0.010006802,0.999945956,-0.03859934,-0.016949767,0.999111003,2.088949828
-0.002877306,-0.010632413,0.999939335,-0.038409772,-0.016754095,0.999121609,2.066496669
-0.002799322,-0.010446638,0.999941514,-0.038579825,-0.016746095,0.999115191,2.082254836
-0.003604631,-0.011020472,0.999932776,-0.039551479,-0.016887802,0.999074813,2.087552215
-0.003050672,-0.009838826,0.999946944,-0.039502371,-0.017341826,0.999068978,2.133029001
-0.003055493,-0.009340399,0.999951709,-0.039232864,-0.017561388,0.999075763,2.126369994
-0.003032484,-0.008909776,0.999955709,-0.038895899,-0.016832319,0.999101487,2.105050989
-0.002991268,-0.008160886,0.999962225,-0.038795365,-0.016736076,0.999107013,2.110128155
-0.003003695,-0.007944138,0.999963934,-0.038801484,-0.016799439,0.999105712,2.113576668
-0.003225897,-0.006563261,0.999973258,-0.039139213,-0.017165466,0.999086317,2.146202154
-0.003102561,-0.007197904,0.999969282,-0.039631894,-0.017271658,0.999065064,2.171851913
-0.003283487,-0.00741222,0.999967138,-0.039626947,-0.017357685,0.99906377,2.159635642
-0.003408705,-0.007148269,0.999968641,-0.039435239,-0.016978194,0.999077876,2.140359221
-0.003391837,-0.00806437,0.99996173,-0.038536964,-0.016812007,0.999115738,2.07578454
-0.003376572,-0.008799,0.999955587,-0.038272955,-0.01676616,0.999126657,2.051522797
-0.003386527,-0.008799201,0.999955552,-0.039090309,-0.016903036,0.999092706,2.098407879
-0.003282749,-0.008872804,0.999955247,-0.039638025,-0.017161825,0.999066714,2.137190037
-0.003017335,-0.009215466,0.999952984,-0.039543285,-0.017307001,0.999067964,2.144244088
-0.002630387,-0.009635617,0.999950117,-0.03914873,-0.017227242,0.999084881,2.137779378
-0.002360176,-0.009937346,0.999947838,-0.038423004,-0.016981752,0.999117257,2.10595563
-0.001928187,-0.010357865,0.999944497,-0.038443702,-0.01715098,0.99911357,2.128735624
-0.001578637,-0.010670974,0.999941817,-0.038992015,-0.016725131,0.999099541,2.172179034
-0.001351507,-0.010590149,0.999943009,-0.039391418,-0.016756658,0.999083345,2.208664038
-0.001075866,-0.01036328,0.999945721,-0.033105429,-0.016063062,0.999322775,1.864413714
-0.000691882,-0.010650716,0.99994304,-0.04283342,-0.018327158,0.998914117,2.455160314
-0.000335078,-0.011068091,0.999938691,-0.038850436,-0.01735065,0.999094389,2.236598364
-0.000281299,-0.01134727,0.999935578,-0.038716342,-0.016953071,0.99910642,2.226112453
0.000405537,-0.01092621,0.999940225,-0.038948944,-0.016677646,0.999102015,2.279454494
0.000355942,-0.011215894,0.999937037,-0.039288067,-0.01675199,0.999087493,2.294144544
0.00093967,-0.010846175,0.999940737,-0.039684142,-0.017018178,0.99906734,2.354980817
0.00126343,-0.010822657,0.999940635,-0.039269903,-0.017383133,0.999077425,2.353296873
0.001634254,-0.010773876,0.999940625,-0.039055031,-0.017285666,0.999087539,2.361663383
0.001968978,-0.010998401,0.999937577,-0.038713782,-0.017402798,0.999098787,2.360312701
0.002195113,-0.010999867,0.99993709,-0.038528968,-0.016741851,0.999117225,2.357031619
0.002172623,-0.011014662,0.999936976,-0.039078107,-0.01618933,0.999105003,2.382665008
0.002272462,-0.010943816,0.999937532,-0.039288706,-0.017016572,0.999082996,2.40724042
0.002028988,-0.011311875,0.99993396,-0.039551301,-0.017476556,0.999064695,2.409108527
0.001868641,-0.011618798,0.999930753,-0.039184648,-0.017115196,0.999085398,2.373832048
0.001603419,-0.011914618,0.999927733,-0.038713948,-0.017019154,0.999105389,2.329092947
0.001220541,-0.012189417,0.999924961,-0.03846542,-0.016422785,0.999124969,2.287349543
0.001168713,-0.011872352,0.999928838,-0.038936679,-0.016860843,0.999099418,2.316222571
0.000250302,-0.012519655,0.999921595,-0.039048767,-0.016707611,0.999097618,2.265059685
-0.000140209,-0.012685634,0.999919524,-0.039510432,-0.017372325,0.99906813,2.272347024
-0.000562775,-0.012901738,0.999916611,-0.0326073,-0.015912089,0.999341568,1.844473819
-0.000633306,-0.012671499,0.999919513,-0.042209102,-0.01818461,0.998943298,2.403796884
-0.001359704,-0.013725082,0.999904882,-0.03859854,-0.016810707,0.999113383,2.141545096
-0.001703573,-0.013867462,0.999902391,-0.038860647,-0.016756676,0.999104131,2.135983195
-0.001415914,-0.013200405,0.999911868,-0.039231997,-0.016707451,0.999090442,2.176639326
-0.002754576,-0.01416172,0.999895924,-0.034454903,-0.015888596,0.999279947,1.819406716
-0.003039243,-0.013858882,0.999899342,-0.035741599,-0.016745652,0.999220757,1.881479403
-0.003512274,-0.014029397,0.999895415,-0.040744036,-0.017868845,0.999009824,2.145260998
-0.003921711,-0.013927531,0.999895317,-0.038849852,-0.017285793,0.999095536,2.01108927
-0.00451703,-0.013974156,0.999892154,-0.038686208,-0.016675008,0.999112267,1.964460546
-0.005454986,-0.014116234,0.999885481,-0.039088182,-0.016468085,0.999100053,1.93236148
-0.005481112,-0.013509506,0.99989372,-0.039266785,-0.017056054,0.999083185,1.947060169
-0.006043556,-0.013595876,0.999889308,-0.03919405,-0.017290668,0.999082008,1.911792618
-0.00664065,-0.013911794,0.999881175,-0.039178574,-0.017249102,0.999083334,1.874707246
-0.00695317,-0.014094746,0.999876488,-0.039088003,-0.017144683,0.999088679,1.850095597
-0.007337865,-0.014484342,0.999868171,-0.038734483,-0.016883239,0.999106899,1.80473872
