x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.003142811,-0.042280236,0.999100848,-0.035194729,-0.015164764,0.999265411,2.405645245
-0.003321628,-0.04216454,0.999105159,-0.035494547,-0.01579087,0.999245108,2.383763709
-0.003370445,-0.0425236,0.999089778,-0.035336585,-0.015050936,0.999262125,2.41518813
-0.00350463,-0.042679245,0.999082679,-0.034998185,-0.015358316,0.999269358,2.389009961
-0.004910916,-0.043701274,0.999032573,-0.033374971,-0.012573878,0.999363802,2.416965821
-0.003457363,-0.041955911,0.999113481,-0.035335849,-0.016392754,0.99924104,2.341401359
-0.004295242,-0.042260598,0.999097389,-0.034958908,-0.015147142,0.999273956,2.3453963
-0.004361155,-0.042169516,0.999100952,-0.035247189,-0.015392123,0.999260085,2.342293176
-0.004331675,-0.042123394,0.999103026,-0.035210718,-0.015487353,0.9992599,2.33669096
-0.004204019,-0.042019133,0.999107961,-0.035080786,-0.015048025,0.999271182,2.349181141
-0.004722038,-0.042863014,0.9990698,-0.034080251,-0.013078295,0.999333525,2.396415251
-0.001898165,-0.040026515,0.999196815,-0.040294836,-0.016541414,0.999050904,2.579085168
-0.003965809,-0.042242944,0.999099498,-0.031576663,-0.012205103,0.999426811,2.337899019
-0.003215775,-0.041452899,0.999135284,-0.035642917,-0.016278595,0.999232,2.352276969
-0.00309401,-0.041519395,0.999132908,-0.035375581,-0.015514399,0.999253657,2.375267937
-0.003304633,-0.042398589,0.99909531,-0.034258606,-0.012466123,0.999335251,2.467343519
-0.002375302,-0.041730176,0.999126093,-0.034960323,-0.015159011,0.999273726,2.409212729
-0.002287152,-0.04167912,0.99912843,-0.034821751,-0.014867451,0.999282945,2.415717348
-0.002587099,-0.041952543,0.999116255,-0.034157727,-0.012874435,0.999333527,2.459431619
-0.002537215,-0.041673559,0.999128058,-0.034510281,-0.013778807,0.999309354,2.431324799
-0.002553289,-0.041418585,0.99913862,-0.035621221,-0.016123655,0.999235286,2.385584163
-0.002663231,-0.041140024,0.999149841,-0.035298123,-0.01558071,0.999255365,2.375234527
-0.002912912,-0.04098033,0.999155707,-0.03498158,-0.015509542,0.999267603,2.346615426
-0.003093588,-0.040681247,0.999167386,-0.035266323,-0.014919096,0.999266585,2.361687041
-0.003284919,-0.040713819,0.999165449,-0.03407558,-0.012859911,0.999336519,2.379108138
-0.003611012,-0.040736337,0.999163406,-0.034103816,-0.013551356,0.999326418,2.340792449
-0.003911622,-0.040641045,0.999166155,-0.034250857,-0.013710222,0.999319223,2.324534033
-0.004207567,-0.040571376,0.999167784,-0.034295602,-0.013830859,0.999316026,2.306527683
-0.004759255,-0.040497358,0.999168311,-0.035403769,-0.015772937,0.999248612,2.256166388
-0.005319791,-0.040665435,0.999158657,-0.035113559,-0.015238482,0.999267145,2.244361708
-0.005348023,-0.039980667,0.999186141,-0.034849619,-0.014811115,0.99928281,2.222048503
-0.006080916,-0.039846145,0.999187323,-0.039076192,-0.015469471,0.999116483,2.350629837
-0.006455651,-0.040157232,0.999172518,-0.031176168,-0.010188219,0.999461979,2.226086173
-0.007216367,-0.039635184,0.999188159,-0.033538328,-0.012075705,0.999364477,2.1836965
-0.008048532,-0.038169328,0.999238872,-0.042836338,-0.02013903,0.998879106,2.245240988
-0.007663243,-0.037321546,0.999273925,-0.034413014,-0.018161458,0.999242666,1.885334072
-0.008687232,-0.039448051,0.999183859,-0.035329094,-0.016225137,0.999244014,2.025084637
-0.008797333,-0.038746655,0.99921034,-0.034966265,-0.014888665,0.999277583,2.029073418
-0.009711094,-0.037925878,0.999233367,-0.03599201,-0.016773633,0.999211299,1.933010848
-0.009311361,-0.038618737,0.999210634,-0.035007952,-0.014638928,0.999279813,2.013910362
